# クルーメイト

# アドミラル
"role.admiralU.ability.title" : "固有能力 "絶対的提督権限""
"role.xinobiU.ability.possess" : "<b>変化</b><br>対象のオブジェクトに変化します。"
"role.xinobiU.ability.vent" : "<b>ベン遁</b><br>一番近くのベントに遠隔で入ります。"
"role.xinobiU.tips" : "一番近くのベントには矢印が表示されます。"

# ニュートラル

# 爆ぜ師
"role.loversbreakerU.ability.title" : "固有能力 "恋の断罪""
"role.loversbreakerU.ability.main" : "ラバーズを爆破します。爆破エフェクトが発生し、自身にのみSEが再生されます。"
"role.loversbreakerU.ability.Exp" : "<b>爆破</b><br>ラバーズを爆破します。"
"role.loversbreakerU.tips" : "・爆ぜ師はラバーズにアサインされません。"
"document.tip.winCond.loversbreakerU.normal.title" : "特殊勝利"
"document.tip.winCond.loversbreakerU.normal" : "ラバーズを一定回数爆破した時点で単独勝利します。"
"document.tip.winCond.loversbreakerU.takeover.title" : "乗っ取り勝利"
"document.tip.winCond.loversbreakerU.takeover" : "一定回数ラバーズを爆破した後生存して生き残ると勝利します。"

# シード
"role.seedU.ability.title" : "固有能力 "咲き始めのクローバー""
"role.seedU.ability.main" : "シードは<b>共生</b>を使用したプレイヤーが勝利する時、追加勝利することが出来ます。<br>#GAUGE"
"role.seedU.ability.left" : "ただし、シードゲージを一定量以上貯めていないと勝利できません。"
"role.seedU.ability.noleft" : ""
"role.seedU.ability.seedSkill" : "<b>共生</b><br>プレイヤーを共生対象にします。<br>共生対象には<color=#6ab2bd>▼</color>のマークが名前の横に表示されます。"
"role.seedU.tips" : "非クルーがイレイサーに能力を消されると、この役職になります。"

# マグロ
"role.tunaU.ability.title" : "固有能力 "回遊""
"role.tunaU.ability.main" : "マグロは自殺タイマーが0になると死亡してしまいます。<br>自殺タイマーは、自身が停止しているときに進行します。"
"role.tunaU.ability.tunaGauge" : "<b>マグロゲージ</b><br>近くに他のプレイヤーがいることで、ゲージが溜まります。<br>自身が止まっている際中は、ゲージの上昇倍率が上がります。<br>ゲージをMAXになると勝利します。"
"role.tunaU.tips" : "ベント内や、ジップラインなどで行動不能場合、自殺タイマーは進行しません。"
"end.tunaU" : "マグロ勝利"
"document.tip.winCond.tunaU.title" : "特殊勝利"
"document.tip.winCond.tunaU" : "<b>マグロゲージ</b>がMAXになると勝利します。"

